sku,contagem,rating,Awards
18479,40,3,0
3170,193,4,0
21768,14,4,2
22352,15,4,0
11420,27,5,0
22563,56,0,1
18185,1,0,1
22658,13,5,2
20495,8,4,0
18412,4,0,2
23520,2,0,0
23500,2,5,0
24228,2,4,0
14721,2,0,2
23759,1,0,0
17233,1,0,0
23708,1,0,0
13911,1,0,0
4533,1,0,0
16397,12,0,0
4195,2,5,3
22613,6,0,0
4199,4,0,0
4194,6,0,0
20499,1,0,0
22571,3,0,0
23924,3,0,0
20108,7,3,0
20237,1,0,0
24250,1,0,0
22203,10,0,0
22349,7,0,0
19483,2,0,0
23920,6,3,0
14722,2,0,0
12879,1,0,0
17620,1,0,0
19376,3,0,0
23209,3,4,0
12813,3,0,0
20894,2,0,0
24230,5,0,0
6363,4,0,0
12883,1,0,0
23116,13,0,0
22207,1,0,0
22956,1,0,0
19475,1,0,0
19482,1,0,0
17622,1,0,0
17623,3,0,0
14639,2,0,0
22146,3,0,0
21758,20,0,0
18751,18,0,0
23295,21,0,0
19384,57,4,0
20028,1,0,0
21086,1,0,0
21085,2,0,0
24216,6,4,0
21036,8,5,0
8613,23,0,0
23115,8,0,0
18831,2,0,0
21037,4,0,0
24416,2,0,0
24406,4,3,0
24452,1,0,0
24461,4,0,0
22373,3,0,0
23695,2,0,0
21898,27,0,0
24227,1,4,0
19481,3,0,0
20601,3,0,0
20895,3,0,0
22211,6,0,0
20273,1,5,0
22962,12,0,0
23569,1,0,0
20900,4,0,0
19155,3,0,0
24410,8,0,0
19505,28,0,0
22205,1,0,0
23861,8,0,0
20448,4,0,0
22441,30,0,0
23427,155,0,0
22841,47,0,0
4188,3,0,0
24781,1,0,0
24783,1,0,0
23418,1,0,0
19478,2,0,0
24211,12,0,0
6361,40,0,0
22777,576,0,0
24126,8,0,0
22614,12,0,0
19694,90,3,0
24780,5,0,0
22916,2,0,0
22788,1,0,0
20396,10,0,0
20282,1,0,0
22819,98,0,0
20138,8,4,0
22429,21,0,0
22722,35,0,0
17770,89,0,0
20080,16,0,0
20142,1,0,0
17500,2,0,0
18028,3,4,0
20289,5,0,0
4762,22,0,0
20236,2,0,0
20219,33,4,0
23995,14,0,0
23996,11,0,0
23635,14,0,0
23633,17,0,0
20547,6,4,0
22455,2,0,0
20553,2,0,0
20728,9,0,0
4205,134,4,0
20896,1,0,0
24121,16,0,0
23524,26,0,0
23435,6,0,0
9055,6,0,0
21001,10,0,0
15328,41,0,0
17307,2,5,0
23498,13,0,0
12734,156,0,0
23453,1,0,0
9057,8,0,0
23945,156,0,0
14632,5,0,0
23310,1,4,0
21874,3,0,0
23978,19,0,0
23193,32,0,0
14723,10,0,0
23218,3,0,0
12636,74,0,0
14720,1,0,0
19663,24,0,0
23166,28,4,0
22267,19,0,0
23161,104,0,0
23167,101,0,0
22117,42,0,0
22099,78,0,0
23274,25,0,0
19727,23,3,0
23897,59,0,0
19728,15,0,0
22074,4,0,0
23272,12,0,0
22361,5,0,0
19714,5,0,0
23409,613,0,0
22150,1,4,1
23718,3,0,0
24763,6,0,0
22833,125,0,0
15861,3,0,0
22477,24,0,0
19789,12,0,0
22420,56,4,0
22959,22,0,0
23408,599,0,0
4192,5,0,0
24649,3,0,0
19770,27,0,0
24413,1,0,0
24414,7,4,1
24407,6,0,0
24415,2,0,0
24412,4,0,0
24408,5,0,0
22360,9,0,0
23946,141,0,0
17602,101,0,0
22990,178,0,0
21159,9,0,0
22775,6,0,0
23724,20,0,0
18879,87,0,0
23467,82,0,0
23428,142,0,0
PKD902,2,3,0
20107,19,0,0
22776,681,0,0
20205,100,0,0
6950,54,0,0
22839,42,0,0
24657,1,0,0
22840,11,0,0
22842,15,4,0
22942,53,0,0
23057,46,0,0
OXD804,1,0,0
22847,106,0,0
22960,1,0,0
20090,102,0,0
19288,6,0,0
23694,119,4,1
23299,970,0,0
22859,109,0,0
17061,55,0,0
24286,10,0,0
23691,31,0,0
21700,12,0,0
23608,9,4,0
23314,72,0,0
23330,53,0,0
23615,1,0,0
24049,6,0,0
21899,19,0,0
23266,1758,0,0
23259,36,0,0
19341,129,0,0
20762,13,0,0
23387,14,0,0
23361,17,4,0
23386,66,0,0
22546,18,0,0
21956,196,0,0
19932,57,0,0
22169,79,0,0
23277,11,4,0
20831,32,0,0
23849,55,0,0
24101,21,0,0
24095,17,0,0
24097,23,4,0
24119,36,0,0
22118,41,0,0
22199,37,0,0
24120,4,0,0
22204,6,0,0
8468,154,0,0
24607,2,3,0
22132,52,0,0
23525,140,0,0
23526,140,0,0
22126,98,0,0
22114,19,0,0
23529,3,0,0
23543,10,4,0
24102,1,0,0
24094,15,0,0
24103,16,0,0
23542,7,0,0
18488,35,0,0
12733,120,0,0
24210,6,4,0
8616,72,0,0
23293,16,0,0
21091,15,0,0
17493,60,0,0
23862,131,0,0
24411,4,0,0
22090,104,4,0
19259,93,0,1
22478,39,0,0
17294,1,0,0
18010,5,0,0
22133,34,0,0
22659,8,0,0
19479,4,0,0
20893,3,5,0
23693,129,0,0
20106,111,0,0
20222,17,0,0
22747,55,0,0
22785,40,0,0
20181,36,0,0
22828,14,0,0
20221,30,0,0
23696,52,4,0
20270,16,0,0
22834,166,0,0
22615,13,0,0
6948,45,0,0
22835,135,0,0
20179,75,0,0
22617,64,0,0
17610,46,4,0
23581,1,0,0
23607,48,0,0
23579,1,5,0
23623,1,0,0
22723,4,0,0
17789,114,0,0
24038,1,0,0
24037,86,0,0
23580,7,0,0
23570,6,0,0
20393,18,0,0
13297,20,0,0
23707,1,0,0
20608,24,0,0
20036,67,0,0
20037,86,0,0
23020,63,0,0
20079,15,0,0
22961,17,4,0
24214,3,0,0
22767,182,0,0
24028,1,0,0
18222,34,0,0
8722,387,0,0
18234,13,0,0
23655,1,5,0
20757,25,0,0
24031,11,0,0
21082,5,0,0
21088,5,0,0
8323,299,0,0
CZC367,3,0,0
18960,90,0,0
23433,4,0,0
18888,35,0,0
23947,15,0,0
GLL520,13,0,0
18929,9,0,0
8467,468,4,0
24606,3,0,0
24123,9,0,0
23656,1,0,0
VNL166,2,0,0
23645,1,0,0
BCF875,1,0,0
23934,4,0,0
23306,2,0,0
16959,35,3,0
LVV149,1,0,0
23289,4,0,0
23470,7,0,0
23301,55,0,0
LYA798,2,0,0
23302,57,5,0
23294,4,0,0
23288,13,0,0
23303,36,0,0
23300,83,0,0
23951,1,0,0
23952,21,0,0
19152,46,0,0
23316,79,0,0
19154,40,0,0
19260,33,0,0
14719,18,0,0
23321,5,0,0
14480,1,5,0
23400,18,4,0
23357,30,0,0
MEQ681,1,0,0
23197,54,0,0
23195,9,4,0
21870,92,0,0
23758,4,0,0
23196,3,0,0
23757,5,4,0
21770,8,4,0
23275,25,0,0
24333,27,0,0
23731,46,0,0
19499,88,0,0
22152,1,0,0
21904,110,0,0
22064,19,0,0
XRV849,1,5,0
22067,51,0,1
22176,66,0,0
23077,22,0,0
19846,4,0,0
22178,105,0,0
10291,153,0,0
22086,19,0,0
19885,96,4,0
23084,21,0,0
19916,10,0,0
23874,18,0,0
22174,100,0,0
22350,11,4,1
23808,5,0,0
19717,18,0,0
23119,48,0,0
22142,66,0,0
12390,100,0,0
23810,6,0,0
WXS083,1,5,0
23806,4,0,0
23807,1,0,0
23914,88,0,0
23805,4,0,0
22131,8,0,0
24213,1,0,0
23118,123,4,0
VWV380,2,0,0
23809,1,0,0
23191,15,0,0
23162,1,0,0
22307,11,0,0
23843,33,0,0
21709,44,0,0
